company_announcement_date,fda_publish_date,product_type,reason_for_announcement,company_name,brand_name,product_description,recall_status,best_if_used_by,package_description,upc,distribution,consumer_contact_number,consumer_contact_email,no_adverse_reactions_reported,recall_initiation_reason,investigation_findings
"February 01, 2024","February 01, 2024",Food & Beverages,Undeclared Soy,Hearty Acquisitions Inc.,Hearty Acquisitions Inc.,Tomato Basil with Rice,Distribution of the batch has been suspended until FDA and the company are certain that the problem has been corrected.,03/22/2024,"16-ounce, clear plastic package labeled as “Tomato Basil With Rice 3/22/2024” marked with lot #03222024 on the top side lid",635508547872,"Locally in the state of NY to the following retail stores: Food Garden Market, Windsor Market, Lincoln Market, and Food Universe.",1-718-640-1854,,No illnesses have been reported to date in connection with this problem.,The soy containing product was distributed in packaging that was labeled as “Tomato Basil With Rice EXP 3/22/2024” and did not reveal the presence of soy.,The problem was caused by mislabeling of the product during the boxing process.
"January 31, 2024","January 31, 2024",Food & Beverages,Potential for Salmonella contamination,The Quaker Oats Company,Quaker,Quaker Chewy Dipps Llama Rama bars and more,,"February 10 or 11, 2024",,,"Throughout the 50 United States, Puerto Rico, Guam and Saipan",1-800-492-9322,,,,
"January 30, 2024","January 30, 2024",Food & Beverages,Undeclared peanuts,Byrne Dairy Inc.,Byrne Dairy,Mighty Fine Chocolate Ice Cream,This recall is being made with the knowledge of the U.S. Food and Drug Administration.,Last Date of Sale: 10/4/2024,½ gallon cardboard containers printed with ‘Byrne Dairy Might Fine Chocolate Ice Cream’,,Retail stores throughout Upstate New York,(315) 627-1319,info@byrne1933.com,No illnesses have been reported to date.,A consumer complaint that product containing peanut butter was distributed in packaging that did not reveal the presence of peanuts due to mislabeling of the product.,"As a result of a manufacturing error, the Chocolate Ice Cream may also contain peanut butter."
"January 28, 2024","January 29, 2024",Drugs,Undeclared Tianeptine,"Neptune Resources, LLC",Neptune’s Fix,"Neptune's Fix Elixir, Neptune's Fix Extra Strength Elixir, and Neptune's Fix Tablets",This recall is being conducted with the knowledge of the U.S. Food and Drug Administration.,,Neptune's Fix Elixir and Extra Strength Elixir are packaged in amber glass bottles with a 'shrink sleeve' label. Neptune's Fix tablets are packaged in 20-count blister packs held in small boxes or 4-count foil packets.,,Nationwide to wholesale and retail customers.,816-256-2071,,Neptune Resources LLC's distribution channels have not reported any adverse events from the use of its products.,"The products contain tianeptine, an ingredient that is not FDA-approved for any medical use.","The presence of tianeptine renders the products unapproved drugs for which safety and efficacy have not been established and, therefore, are subject to recall."
"January 25, 2024","January 26, 2024",Food & Beverages,Undeclared milk allergen,UTZ Quality Foods,UTZ,Utz 2.75 oz. Wavy Original Potato Chips,This recall has been completed and FDA has terminated this recall.,"May 06, 2024",2.75 oz bag,0-41780-19014-7,Retail outlets only in New York State and primarily within New York City,1-800-367-7629,customerservice@utzsnacks.com,No illnesses associated with this voluntary recall have been reported to date.,Approximately 1200 single-serve bags contained Utz® Wavy Original Potato Chips flavored with seasoning instead of plain Utz® Wavy Original Potato Chips.,Not specified
"January 24, 2024","January 25, 2024",Drugs,Mislabeled package,"Azurity Pharmaceuticals, Inc.",Zenzedi,"dextroamphetamine sulfate tablets, 30 mg",This recall is being conducted with the knowledge of the U.S. Food and Drug Administration.,2025-06,"Light yellow hexagonal tablet debossed with '30' on one side and 'MIA' on the other side, distributed in a white bottle with black writing and '30 mg' highlighted yellow.",24338-856-03,Nationwide through pharmacies,800-461-7449,aereports@azurity.com,"To date, Azurity has not received any reports of serious adverse events related to this recall.","A report from a pharmacist in Nebraska who found tablets of Carbinoxamine Maleate, an antihistamine drug, in a bottle of Zenzedi® 30 mg tablets.","Upon learning of the incident, the manufacturer opened a product complaint and an investigation followed."
"January 24, 2024","January 24, 2024",Drugs,Microbial Contamination,Haleon,Robitussin,Cough syrups,This recall is being conducted with the knowledge of the U.S. Food and Drug Administration.,"31OCT2025, 31MAY2025, 30SEP2025, 30JUN2026",4OZ and 8OZ bottles,Not provided,Not specified,+1-800-245-1040,mystory.us@haleon.com,"To date, Haleon has not received any reports of adverse events related to this recall.",The product is being recalled due to microbial contamination.,Not specified
"January 22, 2024","January 23, 2024",Medical Devices,Product cannot be verified as having the required sterility assurance level,Aligned Medical Solutions,Aligned Medical Solutions,Convenience kits containing saline,Ongoing,,,,Nationwide,1-800-637-7056,fieldcorrectiveaction@alignedmedicalsolutions.com,No injuries have been reported to date.,Nurse Assist product cannot be verified as having the required sterility assurance level (SAL) of 10-6.,Water-based medical products that are nonsterile and potentially contaminated with bacteria could cause serious or life-threatening infections.
"January 19, 2024","January 22, 2024",Drugs,Recall Reason Description Device & Drug Safety Potential Safety Concerns,Kilitch Healthcare India Limited,Multiple brands,Lubricant Eye Drops & Multi-Symptom Eye Drops,This recall is being conducted with the knowledge of the U.S. Food and Drug Administration.,,,,"Nationwide to wholesalers, retailers, and via the product distributor, Velocity Pharma LLC.",,regulatory@velocitypharma.com or regulatory@kilitchhealthcare.com,,Corrections in product NDC numbers for the mentioned products.,
"January 19, 2024","January 20, 2024",Food & Beverages,Undeclared sesame and milk allergens,Al Amir Fresh Foods,Al Amir Fresh Foods,Hummus Dip & Tzatziki Cucumber Yogurt,,All dates up to and includes 1/25/2024,Round clear plastic container and a clear lid with label,"7 55134 12341 4, 7 55134 12352 0, 7 55134 12342 1, 8 55134 12351 3",Retail stores in Oregon and Washington,503-780-0340,lydiapack3@gmail.com,No illnesses or deaths have been reported to date.,Al Amir hummus labels declare tahini but do not declare sesame and Tzatziki Cucumber Yogurt label declares sour cream & yogurt but does not declare milk.,
"December 14, 2023","January 19, 2024",Food & Beverages,Undeclared sulfites,RONG SHING,Lian Sheng,Dried Tangerine Plum,,05/31/2023,4.7oz (135g) clear plastic bottle,6928580580214,Florida and New York in retail stores,718-308-1177,,No illnesses or allergic reactions involving this product have been reported to date.,Routine sampling by Florida Department of Agriculture and Consumer Services revealed the presence of undeclared sulfites.,Analysis revealed the product contained 21.91 milligrams of sulfites per serving.
"December 14, 2023","January 19, 2024",Food & Beverages,Undeclared sulfites,RONG SHING,Lian Sheng,Dried Plum,,11/13/2023,5.8oz (165g) clear plastic bottle,6928580581396,Nationwide in retail stores,718-308-1177,,No illnesses or allergic reactions involving this product have been reported to date.,Routine sampling by Florida Department of Agriculture and Consumer Services revealed undeclared sulfites.,Analysis revealed the presence of 21.91 milligrams of sulfites per serving in the Dried Plum.
"January 18, 2024","January 18, 2024",Food & Beverages,"Undeclared Allergens - Peanuts, Milk, Soy, Wheat, and Sesame",Whitley’s Peanut Factory,Whitley’s Peanut Factory,Deluxe Nut Mix,This recall is being executed with the knowledge of the US Food and Drug Administration,,12oz Deluxe Nut Mix labeled tins,703795000551,"Nationwide to wholesalers and retail customers, available on the company website, through mail-order catalogue, and in select US retail stores",1-800-470-2244,CustomerCare@WhitleysPeanut.com,The company has received no reports of illness or injury to date.,A limited number of 10.5oz Whit’s Party Mix tins labeled with 12oz Deluxe Nut Mix labels.,"Whit’s Party Mix includes peanuts, milk, soy, wheat, and sesame which are not listed in the “Contains” statement of the Deluxe Nut Mix label."
"January 17, 2024","January 17, 2024",Food & Beverages,Potential Foodborne Illness-Listeria monocytogenes,BrightFarms,BrightFarms,Spinach and Salad Kits,,"1/11/2024, 1/13/2024, 1/15/2024, 1/18/2024, 1/20/2024","4-oz, clear, plastic containers","8-57062-00492-3, 8-50051-82501-1, 8-57062-00415-2, 8-57062-00416-9, 8-50051-82500-4","Connecticut, Massachusetts, New York, New Jersey, Pennsylvania, Virginia, and West Virginia",1-866-857-8745,info@brightfarms.com,No illnesses have been reported to date.,Routine sampling conducted by Element Farms yielded a positive result for Listeria monocytogenes.,"Due to potential cross-contamination at BrightFarms’s Selinsgrove, Pennsylvania facility, BrightFarms is also recalling a limited quantity of four select salad kit products."
"January 10, 2024","January 17, 2024",Food & Beverages,May contain undeclared wheat traces.,Kinjin Food Pvt. Ltd.,Vandevi,"Asafoetida Yellow Powder in 50 gram, 100 gram, 200 gram, 500 gram, and 1 kilogram packages.",Export and distribution of the product in the USA has been suspended until FDA and the company are certain that the problem has been corrected.,"06-11-2023, 10-11-2023, 13-02-2024, 11-2023, 08-12-2023, 23-12-2023, 05-12-2023, 14-12-2023, 22-02-2024, 24-02-2024, 03-04-2024, 06-05-2024, 05-06-2024, 12-2023, 04-03-2024, 08-03-2024, 25-03-2024, 03-06-2024, 09-06-2024, 03-07-2024, 13-07-2024, 08-08-2024, 25-09-2024, 11-11-2024, 11-07-2024, 01-08-2024, 19-08-2024, 14-09-2024, 20-11-2024, 12-12-2024, 18-01-2025, 01-03-2025, 09-03-2025, 02-05-2025, 10-05-2025, 12-2024, 02-2025, 13-02-2025, 19-03-2025, 02-04-2025, 09-04-2025, 07-05-2025, 07-07-2025, 13-07-2025, 15-08-2025, 22-08-2025, 01-09-2025, 10-09-2025, 14-09-2025, 05-06-2025, 08-06-2025, 14-06-2025, 24-07-2025, 06-08-2025, 09-2025",Yellow plastic bottle with a pale blue label,"50g-8906044469013, 100g-8906044469020, 200g-8906044469037, 500g-8906044469044, 1kg-8906044469051",Nationwide in retail stores and through mail orders,+919819003276,operations@kinjinfood.com,No illnesses have been reported to date in connection with this problem.,"The recall was initiated after it was discovered that the product was being manufactured at a plant which also processed wheat products and therefore, there may be a possibility that the product may contain undeclared traces of wheat.",Subsequent investigation indicates the problem was caused due to misunderstanding of the precautionary labelling done on the product however not as per the labelling requirement of FSMA.
"January 16, 2024","January 17, 2024",Food & Beverages,Contains undeclared peanuts,Big Island Candies,Big Island Candies,Brownie Assortment,,,10 oz. Box of the Makana Brownie Assortment,,"Ala Moana Store located at 1450 Ala Moana Blvd., Honolulu, Hawaii",1.800.935.5510 (ext. 283),customerservice@bigislandcandies.com,"To date, no other incidents have been reported.",A consumer report of an adverse reaction.,The problem was caused at the packing and labeling stage and was limited to batch 60 of this item.
"January 12, 2024","January 12, 2024",Food & Beverages,Product contains yellow oleander.,"World Green Nutrition, Inc.",ELV Alipotec,Mexican Tejocte Root Supplement,"The marketing of the product in the United States of America is definitively suspended, discontinuing the product.","Various expiration dates including 110424, 032328, 120724, 051228, 041928, 051528, 052328, 071828, 071928, 073128, 080228, 081528","White polyethylene container; green polypropylene lid; heat-shrinkable PET-G material label, authenticity hologram and net weight of 0.3 OZ (7g)",Not provided,Only sold through authorized distributors and not through e-commerce platforms or in physical stores.,+1 (956) 612-8408,Not provided,This company has not received reports of illnesses related to the consumption of this product.,The recall from the market began after the Food and Drug Administration issued the safety alert with the title 'FDA Issues Warning About Certain Tejocote Root Supplements Substituted with Toxic Yellow Oleander.',Not provided
"January 11, 2024","January 11, 2024",Food & Beverages,Product contains konjac powder and may present a choking hazard.,U.S. Trading Company,Dragonfly,Jelly Handbag and Jelly Backpack containing Jelly Bars,,,,"721557357156, 721557357163, 721557357170, 721557357187",Nationwide,510-781-1818,,No incidents of consumers choking have been reported to date.,The recall was initiated after New York State Agriculture Department of Agriculture and Markets collected a sample of the jelly containing Konjac.,"Based upon the products containing the ingredient konjac and the dimensions, FDA has determined that the products present a choking hazard."
"January 11, 2024","January 11, 2024",Food & Beverages,Potential Listeria monocytogenes contamination,"Rizo Lopez Foods, Inc.",Rizo Bros California Creamery,Aged Cotija Mexican Grating Cheese,"Rizo Lopez Foods, Inc. has ceased the production and distribution of the product as the FDA and Rizo Lopez Foods continue their investigation.",SELL BY 05/12/24 BATCH 4DW-23318,8oz puck shape wrapped in clear plastic marked with red and black lettering,72724200043,Nationwide through distributors,1-800-626-5587,,No confirmed illnesses related to this product have been reported.,Routine sampling program by the Hawaii State Department of Health’s Food and Drug Branch revealed the finished product contained the bacteria.,The FDA and Rizo Lopez Foods continue their investigation as to what caused the issue.
"January 11, 2024","January 11, 2024",Food & Beverages,Potential for Salmonella contamination,The Quaker Oats Company,Multiple brand names,"Cereal, bars, and snacks","This recall applies to the specific products listed below, in addition to the products announced on December 15, 2023.",Jan-11-24 and Oct-01-24,Various sizes and counts,Various UPCs,"Throughout the 50 United States, Puerto Rico, Guam and Saipan",1-800-492-9322,Not provided,Not specified,"Expansion of the December 15, 2023, recall to include additional products due to possible health risk.",Not specified
"January 10, 2024","January 10, 2024",Food & Beverages,Undeclared wheat,Wegmans,Wegmans,Outrageous Oat Cookies,,All use-by dates,5 pack and sold by the pound,"7789056618, 2-08165-00000-6","All Wegmans locations in D.C, Delaware, Maryland, Massachusetts, New Jersey, New York, North Carolina, Pennsylvania, and Virginia",1-855-934-3663,,No adverse reactions have been reported to date.,A wheat-containing ingredient was inadvertently included in the product.,
"January 08, 2024","January 09, 2024",Food & Beverages,Undeclared wheat,"Vesta Fiery Gourmet Foods, Inc.",Benny T’s,Benny T’s Vesta Dry Hot Sauces,This recall is being made with the knowledge of the Food and Drug Administration.,December 2024,1.5oz glass jar,"7 94571 99498 0, 7 94571 99497 3, 7 94571 99490 4, 7 94571 99491 1, 7 94571 99499 7","Nationwide to wholesalers across the US, primarily online, in retail stores & deli cases located throughout the United States.",919-656-7688,,No illnesses have been reported to date.,The label does not state the flour used is a wheat flour.,The firm was notified by the North Carolina Department of Agriculture and Consumer Services.
"January 08, 2024","January 09, 2024",Food & Beverages,Undeclared fish allergen,Ventura Foods,Publix Deli,Publix Deli Carolina-Style Mustard BBQ Sauce,Publix Super Markets have removed all affected products from its shelves.,"April 08, 2024",2oz package – individually sold,0 41415 57162 4,"Publix stores in Alabama, Florida, Georgia, North Carolina, South Carolina, Tennessee and Virginia",(888) 500-0086,,No adverse reactions have been reported to date.,Contains Traditional Sweet & Spicy BBQ Sauce that may contain a fish (anchovy) allergen not declared on the label.,
"January 09, 2024","January 09, 2024",Food & Beverages,Undeclared sulfites,"HY Success, Inc.",Fat Choy Kee,Dried Longan,,12/31/2024,"5 ounce, clear plastic package marked with item no.: 61915",89091-99846,Nationwide in retail stores,646-533-2162,,No illnesses or allergic reactions involving this product have been reported to date.,Routine sampling by Florida Department of Agriculture and Consumer Services revealed the presence of sulfites not declared on the label.,Analysis of the Dried Longan revealed they contained 22.21 milligrams of sulfites per serving.
"January 05, 2024","January 08, 2024",Drugs,Potential for superpotent drug,Leiters Health,"Leiters, Compounding Health","Vancomycin IV Bags, Phenylephrine IV Bags, and Fentanyl IV Bags",This recall is being conducted with the knowledge of the U.S. Food and Drug Administration.,Various expiration dates from 1/18/2024 to 5/5/2024,IV bags,Not provided,Nationwide to hospitals for administration in the hospital,1-800-292-6772,recall@leiters.com,Leiters Health has not received any reports of adverse events related to this recall.,The recalled batches may contain twice the labeled amount of drug due to issues with semi-automated IV bag filling equipment.,"The semi-automated IV bag filling equipment may not eject the IV bags properly when compressed air tanks become low or a leak was detected, causing the recalled IV bags to be dosed twice."
"January 04, 2024","January 05, 2024",Animal & Veterinary Food & Beverages,Potential Salmonella contamination,"D&D Commodities, Ltd.",3-D Pet Products,Premium Parrot Food,Voluntary recall,,4 lb. jar,719195135045,"Arizona, Arkansas, California, Colorado, Delaware, Florida, Georgia, Illinois, Indiana, Kansas, Kentucky, Louisiana, Michigan, Mississippi, Missouri, Ohio, Oregon, Texas, Utah, and Virginia",1-218-991-8015,,,Positive result for Salmonella in a random sample test collected by the FDA,The recall is based on a single manufacturing batch with Lot Number 102525G and UPC 719195135045
"January 05, 2024","January 05, 2024",Food & Beverages,Undeclared soy,ToYou Snacks,ToYou,Snack Bars in a variety of flavors,Production of these flavors has been halted until FDA and ToYou Snacks are certain that the issue has been resolved.,06/30/2024 – 08/30/2024,40 gram (1.4 oz) wrappers in 14 count boxes with craft looking paper and vibrant colors,,20 Whole Foods stores in Florida and Amazon FBA at the national level through the North Carolina distribution center,,toyousnacks@me.com,No illnesses have been reported in connection with this problem.,The recall was initiated after it was discovered that the wrappers were missing the soy allergen declaration in the flavors listed above.,This issue was caused by mass printing wraps and not having anyone in the team previous to myself and my team with any knowledge on quality and control the company.
"January 03, 2024","January 04, 2024",Food & Beverages,May contain undeclared sulfites.,"Win Luck Trading, Inc.",Tasty Snacks,Dried Plums,,,200g clear plastic container,,Retail stores in New York and New Jersey,201-332-8878,,No illnesses have been reported to date.,"Routine sampling by the New York State Department of Agriculture and Markets found sulfites in the product, which were not declared on the packaging.",The issue was caused by a temporary failure in the company's production and packaging processes.
"January 03, 2024","January 04, 2024",Food & Beverages,May contain undeclared sulfites,"Win Luck Trading, Inc.",Tasty Snacks,Dried Plums,,,"200g, clear plastic container",,New York and New Jersey in retail stores,201-332-8878,,No illnesses have been reported to date in connection with this problem.,Routine sampling by the New York State Department of Agriculture and Markets found sulfites in the product which was distributed in packaging that did not reveal the presence of sulfites.,The problem was caused by a temporary breakdown in the company's production and packaging processes.
"January 03, 2024","January 04, 2024",Medical Devices,Syringes provided with Express Drains could not be verified to be sterile.,Getinge/Atrium Medical Corporation,Atrium,Express Drains,This Medical Device Recall/Correction is being made with the knowledge of the U.S. Food and Drug Administration.,,,,Nationwide,(888) 943-8872,atriumexpressdrains2023.qrc@getinge.com,,"Voluntary medical device recall initiated by a supplier, Nurse Assist, due to non-sterile syringes.","The 30mL sterile water syringe pre-packaged with Express chest drains could not be verified to be sterile, potentially exposing patients to infectious pathogens."
"December 22, 2023","January 03, 2024",Animal & Veterinary,Potential contamination of Salmonella and Listeria monocytogenes,Blue Ridge Beef,Blue Ridge Beef,"Kitten Grind, Kitten Mix, and Puppy Mix",This recall is being made with the knowledge of the Food and Drug Administration.,N24 1114 to N24 1224,2 lb log packaged in clear plastic,"Kitten Grind: 8 54298 00101 6, Kitten Mix: 8 54298 00243 6, Puppy Mix: 8 54298 00169 6","Retail stores in CT, FL, IA, IL, MA, MD, MI, NC, NY, OH, OR, PA, RI, TN, VA & WI",(704) 880-4500,blueridgebeefnc@yahoo.com,No illnesses have been reported to date.,The firm was notified by the North Carolina Department of Agriculture and Consumer Services that one lot of each of the products were sampled and tested positive for Salmonella and Listeria monocytogenes.,"Out of an abundance of caution, the firm is recalling all lots with the used by dates between N24 1114 to N24 1224."
