status,city,state,country,classification,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,report_date,code_info,more_code_info,termination_date
Terminated,Washington Court House,OH,United States,Class II,Food,94408,Detty Family Barbeque LTD,2735 Us Highway 22 Sw,N/A,43160-9590,Voluntary: Firm initiated,Telephone,Kentucky and Ohio,F-1227-2024,"DB Yummers Island Marinade Barbeque Sauce packaged in 19.5 glass bottles, 12 bottles per case, UPC 7487200103.",480 bottles,No approved scheduled process,2024-04-12,2024-05-09,2024-05-15,Best By 06/29/25,,2024-05-20
Terminated,Fostoria,OH,United States,Class II,Food,93915,Mennel Milling Company,319 S Vine St,PO Box 806,44830-1843,Voluntary: Firm initiated,E-Mail,"KY, MI, NJ, NY, OH, PA",F-0895-2024,"2-15969-0000 delivered as bulk product in approximately 50,000 lbs trailers",2633960 TOTAL lbs,"Potential Foreign Material - Metal, Wood, Gasket Material, and/or Sifter balls",2024-01-30,2024-02-16,2024-02-28,Lot Codes: 24024-36; 24024-43; 24024-46; 24024-51; 24024-55; 24025-04; 24025-07; 24025-11; 24025-14; 24025-17; 24025-23; 24025-33; 24025-35; 24025-37; 24025-40; 24025-45; 24025-46; 24026-05;    24026-10;    24026-12; 24026-15; 24026-16; 24026-19; 24026-20; 24026-23; 24026-24; 24026-26; 24026-32;    24026-35; 24026-36; 24026-38; 24026-40; 24026-41; 24026-46; 24026-50; 24026-53; 24026-55;    24027-04; 24027-05; 24027-06; 24027-08; 24027-09; 24027-10; 24027-11; 24027-14; 24027-19;    24027-24; 24027-25; 24027-31; 24028-06; 24028-07; 24028-09; 24028-10; 24028-16; 24028-18;    24028-19; 24028-22; 24029-03; 24029-07; 24029-10; 24029-28   Product Code: RM41P1-00166,,2024-03-21
Ongoing,Auburndale,FL,United States,Class II,Food,94209,THE COCA-COLA COMPANY,705 Main St,,33823-4425,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",U.S. distribution to 760 consignees in SC and FL.,F-1112-2024,"Powerade Zero Fruit Punch   -  20oz PET bottles 24 variety pack, 8 bottles of Powerade Grape within the variety pack",149 cases,"The potential presence of a foreign metal object in the product, i.e. a stainless-steel ring.",2024-02-27,2024-03-29,2024-04-10,"Lot Codes 0013098209, 0013111742, 0013111657, 0013119902 Expiration date: NOV1124AME",,
Ongoing,Springdale,AR,United States,Class II,Food,94548,Rise Baking Company dba South Coast Baking,800 S 40th St,N/A,72762-4826,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","California, Ohio, Pennsylvania, Oregon, Florida, Illinois, North Carolina, Massachusetts, Wisconsin, Colorado, Louisiana, Texas, Missouri, Minnesota, Oklahoma, New York, Michigan, Indiana, Maryland, New Jersey and Georgia",F-1303-2024,"Rise Baking Company Cowboy Cookie, Net Wt. 18.75 lb (8.5 kg), 300/ 1.0 oz dough pucks/case","29,019 Cases (Total all products)",Potential Salmonella contamination,2024-05-02,2024-06-06,2024-06-12,4117N1,,
Ongoing,Cleveland,OH,United States,Class II,Food,93817,Greco Sidari,3820 Lakeside Ave E,,44114-3848,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","OH, NY & PA",F-0825-2024,RESERS RED SKIN POTATO SALAD 2/8# SUPC/ITEM # 9139,1375 cases total,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,2024-01-11,2024-02-05,2024-02-14,"All Lot Codes Distributed between November 26, 2023 and January 5, 2024",,
Ongoing,Brooklyn,NY,United States,Class II,Food,94556,"Maribel's Sweets, Inc.",38 Dobbin St,,11222-3110,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide E-commerce, retail stores in NY",F-1265-2024,1. 2pc Ganache tote box,4011 boxes total,Contains undeclared coconut.,2024-05-02,2024-05-27,2024-06-05,"Lot/Unit Numbers:  07324,07424, 07824, 07924, 08024, 08124, 08524, 08624, 08724, 08824, 09224, 09324, 08424, 08524, 09924, 10024, 10124, 10224, 10624, 10824, 10724, 10924, 11324, 11424, 11524, 12024, 12124, 12224, 12324  Expiration date(s) or Use by Date(s) or expected shelf life of product:  fresh 6 weeks and frozen 1 year  UPC Codes:   858289000095",,
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1330-2024,"Germantown Gard Preservative, 25 kg / 55.12 lb bag",3000 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot numbers: 1204607203; 1204607204; 1204614207,,
Terminated,San Fernando,CA,United States,Class I,Food,93983,Fresh & Ready Foods LLC,"1145 Arroyo Ave, Units B & C",,91340-1842,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. distribution to the following: CA, NV, UT, AZ   No foreign distribution.",F-1077-2024,Fresh & Ready Ham Torta Sandwich 9 oz UPC 8290690707,,L. mono contamination,2024-02-06,2024-03-15,2024-03-27,Use By Dates 02/03/2024 to 02/22/2024,,2024-04-16
Terminated,Plymouth,WI,United States,Class I,Food,93950,"Sargento Foods, Inc.",1 Persnickety Pl,,53073-3544,Voluntary: Firm initiated,E-Mail,"AZ, CA, FL, GA, IL, IN, MD, NC, NJ, NV, OH, RI, TX, WA, WI",F-1012-2024,"Asiago cheese packaged in the following configurations:   1.   Sargento Part #10197, Fancy Shredded Fresh Asiago Cheese  Pack Size 500/0.75 oz.     Material #10001006, UPC 46100342688.     2.  Sargento Shredded Fresh Asiago Cheese.  Pack Size 400/1 oz.  Net Wt 25.000 lbs.     Material #10003176, UPC 46100354865.      Keep Refrigerated.  Product of USA.  Distributed By Sargento Foods Inc, Plymouth, WI  53073  USA.",264 cases,Listeria monocytogenes,2024-02-05,2024-02-29,2024-03-06,Batch / Use By Dates:   Product 1:   02225879 / Best By   JUN/01/24   Product 2:    02224176 / Best By   MAY/18/24;  02225887 / Best By   JUN/01/24,,2024-04-30
Terminated,Caldwell,ID,United States,Class II,Food,94042,Capitol Commissary LLC,1920 S Kcid Road,N/A,83605,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed in Arizona, California, Idaho, Nevada, Oregon, Utah, and Washington.",F-1057-2024,"CK Egg Salad Sandwich, net wt. 6.7oz.  Product is closed-face sandwich and ready to eat product. UPC 983644000097.",52 units total,Potential cross contact with sesame.,2024-02-14,2024-03-08,2024-03-20,"Lot Codes: 24039, 24040, 24043, 24044.  Best By Dates: Feb. 15, 2024; Feb. 16, 2024; Feb. 17, 2024; Feb.19, 2024; Feb. 20, 2024; and Feb. 21, 2024.",,2024-04-16
Ongoing,Middletown,PA,United States,Class I,Food,93897,MG Foods Middletown,3201 Fulling Mill Rd,,17057-3174,Voluntary: Firm initiated,E-Mail,"Distributed to distributors in PA, NJ, MD and NY. Product is then sold in canteen and vending machines.",F-0858-2024,Authentic Fresh to You Deluxe Triple Decker Club Net Wt. 8.8oz (254g). Product packaged in a plastic PET container.,852 units,Undeclared egg,2024-01-25,2024-02-07,2024-02-14,MGF9719 Fresh Thru 01/27/24 MGF9719 Fresh Thru 01/30/24,,
Ongoing,Costa Mesa,CA,United States,Class II,Food,94234,"NRS Enterprises, Inc. dba Sunflour Bakery",2950 Grace Ln,N/A,92626-4169,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Products were distributed to customers within the state of CA.,F-1104-2024,"German Home Bakery Cherry Coffee Cake, 16 oz, clear poly bag",92 loaves,Undeclared Yellow #5,2024-03-08,2024-03-27,2024-04-03,Pull date for the coffee cakes are 03/08/2024,,
Terminated,Milwaukie,OR,United States,Class I,Food,93850,Lydia Pack 3 Inc,5699 Se International Way Ste D,N/A,97222-4647,Voluntary: Firm initiated,Press Release,Distributed in OR and WA.,F-0868-2024,"Al Amir Fresh Foods Harissa Spicy Hummus With a Kick, packaged in round plastic clear container, net wt. 8oz. There are 12 containers per case. UPC on 8oz container: 7 55134 12352 0.  The recalled product label declares: Ingredients: Garbanzo Beans, Tahini Paste, Garlico (Fresh Garlic/Oil/Lemon/Salt), Hot Chili Peppers, Natural Citric Acid, Salt.","3,000 to 4,000 packages for each product",Hummus product label declares Tahini but does not declare sesame.,2024-01-19,2024-02-13,2024-02-21,All dates up to and includes 1/25/2024,,2024-04-16
Ongoing,San Luis,AZ,United States,Class I,Food,93920,HandNatural,874 S Main St,,85349-7500,Voluntary: Firm initiated,E-Mail,Firm is  100% internet sales. Distribution is unknown at this time.,F-1158-2024,H&NATURAL TEJOCOTE ROOT  Dietary Supplement Net WT 0.36 oz (10g),Unknown at this time,Product is being recalled due to the presence of yellow oleander and its components in the product.,2024-02-09,2024-04-16,2024-04-24,No Lot code on label. Expiration date listed as 05/24 & 03/24,,
Ongoing,Modesto,CA,United States,Class I,Food,93814,"Rizo Lopez Foods, Inc. dba Don Francisco Cheese",201 S Mcclure Rd,,95357-0519,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. distribution to the following: AR, AZ, BC, CA, CO, FL, GA, IA, IL, KS, MD, NC,NJ, NV, NY, OR, RI, TX, UT, VA, WA, W  No foreign distribution.",F-0928-2024,Monterey Jack Conventional (bulk),,Listeria monocytogenes contamination.,2024-01-11,2024-02-23,2024-02-07,PLU Batch ID 40200 1DZ-23249 40200 2DY-23249 40200 3DX-23249 40200 4CW-23249 40200 1DY-23279 40200 2DX-23279 40200 3CW-23279 40200 4CZ-23279 40200 1DZ-23283 40200 2DY-23283 40200 3CW-23283 40200 4CZ-23283 40200 2EY-23284 40200 3EX-23284 40200 4EW-23284 40200 1EX-23314 40200 2DW-23314 40200 3DZ-23314 40200 4DY-23314 40200 1DZ-24019 40200 2EY-24019 40200 3EX-24019 40200 4EW-24019 40200 1CY-24027 40200 2DX-24027 40200 3DW-24027 40200 4DZ-24027,,
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1307-2024,"Grindsted SSD 6018 Stabilizer System, 22.68 kg / 50 lb bag",5443.20 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot numbers: 1204603184; 1204612872; 1204621683; 1204621684; 1204625901; 1204625902,,
Ongoing,Beaverton,OR,United States,Class II,Food,94669,"Reser's Fine Foods, Inc.",15570 SW Jenkins Rd,,97006-6003,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed in AL, CT, FL, GA, LA, MA, MS, NC, NH, NY, RI, SC, TN, VA, and VT.",F-1263-2024,"Product is MACARONI Salad, but the bottom container is mislabeled with the ingredients statement for COLESLAW.  Product is refrigerated and packaged in a clear square container with 3 applied labels with a clear lid. Net Wt: 32oz. (2lbs) 907 g. There are 6 packages per case. Distributed and Sold by Aldi, Batavia, IL.","12,312 containers",Undeclared Wheat. Aldi Macaroni Salad was mislabeled as Coleslaw and Coleslaw label does not declare wheat. Macaroni (pasta) is visible through a clear plastic package.,2024-05-17,2024-05-23,2024-05-29,USE BY JUN/03/24 30 HH:MM:SS,,
Ongoing,Watsonville,CA,United States,Class II,Food,94480,S Martinelli & Company,735 W Beach St,N/A,95076-5141,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. distribution to the following: AL, AR, AZ, CA, CO, FL, GA, IA, ID, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, PR, SC, TN, TX, UT, VA, WA, WI  Foreign distribution to the following: Panama",F-1220-2024,Martinelli's Gold Medal Apple Juice From U.S. Grown Fresh Apples 1 Liter (33.8 fl oz.) No Additives of Any Kind UPC 0 00 41244 00102 6,"24,519 cases or 147,114 units",Elevated levels of inorganic arsenic.,2024-04-16,2024-05-06,2024-05-15,"Best By 09MAR2026 and 10MAR2026  Production Date: 3/09/23 Pallet/Batch #: 0001058704, 0001058705, 0001058708, 0001058709, 0001058738, 0001058739, 0001058762, 0001058763, 0001058772, 0001058773, 0001058774, 0001058778, 0001058779, 0001058780, 0001058781, 0001058783, 0001058784, 0001058787, 0001058788, 0001058797, 0001058798, 0001058806, 0001058807, 0001058809, 0001058810, 0001058811, 0001058814, 0001058815, 0001058820, 0001058821, 0001058823, 0001058835, 0001058836, 0001058854, 0001058855, 0001058856, 0001058865, 0001058876, 0001058888, 0001058889, 0001058890, 0001058892, 0001058893, 0001058898, 0001058899, 0001058900, 0001058901, 0001058902, 0001058904, 0001058905, 0001058915, 0001058916, 0001058917, 0001058918, 0001058919, 0001058921, 0001058922, 0001058923, 0001058925, 0001058926, 0001058935, 0001058936, 0001058947, 0001058952, 0001058953, 0001058954, 0001058955, 0001058957, 0001058958, 0001058964, 0001058965, 0001058968, 0001058970, 0001058975, 0001058976, 0001058984, 0001058988, 0001058990, 0001059012, 0001059019, 0001059020, 0001059021, 0001059022, 0001059024, 0001059025, 0001059028, 0001059031, 0001059039, 0001059040, 0001059044, 0001059045 0001059046, 0001059053, 0001059054, 0001059060, 0001059065, 0001059071, 0001059077, 0001059078, 0001059082, 0001059094, 0001059096, 0001059097, 0001059100, 0001059104, 0001059118, 0001059137, 0001059144, 0001059149, 0001059158, 0001059163, 0001059167, 0001059168, 0001059170, 0001059179, 0001059181, 0001059185, 0001059186, 0001059187, 0001059204, 0001059207, 0001059210, 0001059212, 0001059213, 0001059217, 0001059225, 0001059226, 0001059228, 0001059230, 0001059236, 0001059237, 0001059238, 0001059243, 0001059244, 0001059247, 0001059249, 0001059250, 0001059252, 0001059255, 0001059257, 0001059262, 0001059266, 0001059267, 0001059269, 0001059275, 0001059276, 0001059277, 0001059279, 0001059281, 0001059285, 0001059287, 0001059297, 0001059298, 0001059299, 0001059300, 0001059301, 0001059302, 0001059303, 0001059307, 0001059310, 0001059311, 0001059314, 0001059316, 0001059323, 0001059326, 0001059327, 0001059332, 0001059333, 0001059334, 0001059335, 0001059336, 0001059337, 0001059339, 0001059340, 0001059346, 0001059347, 0001059348, 0001059350, 0001059356, 0001059358, 0001059360, 0001059362, 0001059369, 0001059371, 0001059372, 0001059376, 0001059378  Production Date: 3/10/23 Pallet/Batch #: 0001059388, 0001059396, 0001059399, 0001059400, 0001059403, 0001059404, 0001059406, 0001059407, 0001059409, 0001059411, 0001059412, 0001059421, 0001059424, 0001059425, 0001059426, 0001059427, 0001059428, 0001059429, 0001059430, 0001059431, 0001059432, 0001059433, 0001059439, 0001059440, 0001059441, 0001059442, 0001059443, 0001059444, 0001059459, 0001059470, 0001059477, 0001059478, 0001059481, 0001059482, 0001059485, 0001059488, 0001059489, 0001059491, 0001059492, 0001059494, 0001059499, 0001059501, 0001059503, 0001059504, 0001059505, 0001059506, 0001059507, 0001059508, 0001059509, 0001059512, 0001059515, 0001059520, 0001059522, 0001059524, 0001059526, 0001059528, 0001059530, 0001059531, 0001059532, 0001059533, 0001059534, 0001059536, 0001059537, 0001059539, 0001059540, 0001059541, 0001059542, 0001059543, 0001059544, 0001059545, 0001059546, 0001059547, 0001059550, 0001059551, 0001059554, 0001059558, 0001059562, 0001059565, 0001059566, 0001059567, 0001059571, 0001059575, 0001059578, 0001059583 0001059586, 0001059598, 0001059599",,
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1324-2024,"GSD 0911 Stabilizer, Stabilizer and Emulsifier System, 22.68 kg / 50 lb bag",14991.48 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot number: 1204589255; 1204589257; 1204589258; 1204589259; 1204589260; 1204589261; 1204589262; 1204589263; 1204589264; 1204589265; 1204589266; 1204589267; 1204589268; 1204589270; 1204619142; 1204619143; 1204620910,,
Terminated,Plymouth,WI,United States,Class I,Food,93950,"Sargento Foods, Inc.",1 Persnickety Pl,,53073-3544,Voluntary: Firm initiated,E-Mail,"AZ, CA, FL, GA, IL, IN, MD, NC, NJ, NV, OH, RI, TX, WA, WI",F-1016-2024,"Sargento Part #10129  Fancy Shredded Bistro Blends Nacho & Taco Cheese Blend.  Pack Size 500/.75 oz.  Material #10000281, UPC 46100334157 Keep Refrigerated.  Product of USA.  Distributed By Sargento Foods Inc, Plymouth, WI  53073  USA.",93 cases,Listeria monocytogenes,2024-02-05,2024-02-29,2024-03-06,Batch / Use By Dates:   02217733 / Best By MAR/03/24,,2024-04-30
Terminated,Monterey,CA,United States,Class I,Food,93980,Dole Fresh Vegetables Inc,2959 Monterey Hwy,,93940,Voluntary: Firm initiated,Letter,"U.S . distribution to the following: AL, CA, CT, FL, GA, IN, KY, LA, MA, MD, MI, MN, MO, MS, NC, NV, NY, OH, PA, SC, TN, UT, VA, WA and WI  Foreign distribution to the following: Canada- AB, BC, NB, ON and QC",F-1072-2024,Dole Chopped Kit Avocado Ranch UPC 71430000915,"50,645 cases total",Product has the potential to be contaminated with Listeria monocytogenes.,2024-02-08,2024-03-15,2024-03-27,W019- W036 02/03/2024-02/20/2024 N019-N036 02/03/2024-02/20/2024,,2024-04-08
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1339-2024,"Germantown Gard (A) Preservative, 25 kg / 55.12 lb bag",21000.00 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot numbers: 1204601354; 1204601355; 1204601356; 1204601357; 1204601358; 1204601359; 1204601360; 1204610339; 1204610340; 1204610341; 1204610342; 1204610343; 1204610345; 1204610346; 1204611549; 1204627811; 1204627812; 1204627813; 1204627814; 1204627815; 1204627816; 1204627817,,
Ongoing,Fort Myers,FL,United States,Class I,Food,94308,Belgian Yummies,7970 Summerlin Lakes Dr Ste 101,N/A,33907-1855,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",The products were only distributed in the state of Florida.,F-1232-2024,Raspberry Ice Cream Cookie Sandwich. Sandwiches packaged in a gold or clear bags. 50 sandwiches per case and weighting 4oz each sandwich.,110,"Undeclared Allergen: milk,eggs, wheat, peanuts, and tree nuts.",2024-03-20,2024-05-09,2024-05-15,No lot numbers provided; Expiration date is 6 months from production date.,,
Ongoing,Modesto,CA,United States,Class I,Food,93814,"Rizo Lopez Foods, Inc. dba Don Francisco Cheese",201 S Mcclure Rd,,95357-0519,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. distribution to the following: AR, AZ, BC, CA, CO, FL, GA, IA, IL, KS, MD, NC,NJ, NV, NY, OR, RI, TX, UT, VA, WA, W  No foreign distribution.",F-0921-2024,"Tio Francisco Panela 14 oz. UPC 7-27242-00550-0  Food City Panela  16 oz. Tio Francisco, San Carlos, Dos Ranchitos, La Ordena, Campesino Panela Available to consumers at retail deli counters in various sizes  Tio Francisco Panela Barra Available to consumers at retail deli counters in various sizes.  Panela Regular and Barra (Bulk)",,Listeria monocytogenes contamination.,2024-01-11,2024-02-23,2024-02-07,All dates through 04/02/2024  Panela Regular and Barra (bulk) PLU Batch ID 12240 2C-23335 12350 2C-23335 12350 3C-23335 350 1C-23335 350 2C-23335 350 1B-23336 50350 3C-23338 26350 2C-23339 26350 3B-23339 350 1C-23339 350 2C-23339 50350 3B-23339 351 2AW-23340 350 2C-23340 351 4AW-23341 56351 4AW-23341 350 1C-23342 350 2C-23342 12240 3C-23345 12350 3C-23345 350 3C-23345 26350 2C-23346 350 1C-23346 350 2C-23346 350 3C-23346 50350 3C-23346 351 4AW-23347 351 3AW-23348 56351 3AW-23348 350 1C-23349 350 2D-23349 350 3D-23349 56350 1C-23349 12240 1C-23350 12350 1C-23350 350 2D-23350 350 3D-23350 350 3C-23352 26350 1C-23353 350 1C-23353 350 2C-23353 350 3C-23353 351 1AW-23354 12240 1C-23354 12350 1C-23354 50350 1C-23354 56350 1C-23354 351 3AW-23355 56351 3AW-23355 350 1B-23355 350 1B-23356 350 3C-23360 50350 3C-23360 26350 3C-23361 350 2C-23361 350 3C-23361 350 3C-23362 56350 3C-23362 351 3AW-23363 56351 3AW-23363 350 1B-23363 12240 1B-23364 12350 1B-23364 350 1B-23364 350 2D-23364 350 3D-23364 350 2C-24003 350 3C-24003 50350 1C-24003 56350 2C-24003 351 3AW-24004 351 3AW-24005 56351 3AW-24005 12240 2B-24006 12350 2B-24006 350 2B-24006 350 3B-24006 26350 1C-24008 350 2C-24008 350 3C-24008 350 2C-24010 350 3C-24010 351 4AW-24011 56351 4AW-24011 12240 2B-24012 12350 2B-24012 350 3B-24012 26350 3B-24015 350 2C-24015 350 3B-24015 56350 3B-24015 351 4AW-24018 351 4AW-24019 56351 4AW-24019 12240 2C-24020 12350 2C-24020 350 2C-24020 350 3C-24020 50350 2C-24020 26350 2C-24023 350 1C-24023 350 2C-24023 351 1AW-24026 12240 2C-24027 12350 2C-24027 350 2C-24027 350 1B-24029 26350 2C-24030 350 1D-24030 350 2C-24030 50350 3C-24030 56350 1D-24030 351 4AW-24031 350 1C-24032 350 2C-24032 12240 2C-24033 12350 2C-24033 350 1D-24033 350 2C-24033 350 3C-24033,,
Ongoing,Watsonville,CA,United States,Class II,Food,93947,"Nordic Naturals, Inc.",111 Jennings Way,N/A,95076-2054,Voluntary: Firm initiated,E-Mail,"Products are distributed to 79 consignees, consisting of retailers, distributors, and consumers. Number of consignees who purchased through Amazon are unknown. U.S. distribution to AR, AZ, CA, DC, DE, FL, GA, IA, IL, IN, MA, MD, MI, MN, MO, MS, NC. ND, NH, NJ, NY, OH, OR, PA, RI, TX, VT and WI. Additionally, foreign customers in the Dubai and Kenya.",F-1109-2024,"Nordic Naturals Baby s Vitamin D3 liquid, 400 IU (10 mcg) D3, 0.76 fl oz (22.5 mL) DIETARY SUPPLEMENT, dark glass bottle",5564 bottles,Elevated levels of vitamin D3,2024-02-07,2024-03-28,2024-04-03,Lot number 234909,,
Ongoing,Fort Myers,FL,United States,Class I,Food,94308,Belgian Yummies,7970 Summerlin Lakes Dr Ste 101,N/A,33907-1855,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",The products were only distributed in the state of Florida.,F-1231-2024,Chocolate Ice Cream Cookie Sandwich. Sandwiches packaged in a gold or clear bags. 50 sandwiches per case and weighting 4oz each sandwich.,892,"Undeclared Allergen: milk, eggs, wheat, peanuts, and tree nuts.",2024-03-20,2024-05-09,2024-05-15,No lot numbers provided; Expiration date is 6 months from production date.,,
Ongoing,Hamtramck,MI,United States,Class II,Food,94387,"Home Style Foods, Inc.",5163 Edwin St,N/A,48212-3377,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",MI,F-1205-2024,"Kowalski Simply Sides - Jack's Potato Salad, 16oz. plastic tub,  UPC: 754721282701. 6 retail tubs per wholesale case.",43 cases,Undeclared egg,2024-04-08,2024-04-25,2024-05-01,Sell By: 04/29/2024,,
Ongoing,Cleveland,OH,United States,Class II,Food,93817,Greco Sidari,3820 Lakeside Ave E,,44114-3848,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","OH, NY & PA",F-0818-2024,RESER'S POTATOE POTATOES MASHED RED SKN 4/5# SUPC/ITEM # 3264,1375 cases total,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,2024-01-11,2024-02-05,2024-02-14,"All Lot Codes Distributed between November 26, 2023 and January 5, 2024",,
Ongoing,San Luis,AZ,United States,Class I,Food,93920,HandNatural,874 S Main St,,85349-7500,Voluntary: Firm initiated,E-Mail,Firm is  100% internet sales. Distribution is unknown at this time.,F-1168-2024,"H&NATURAL BRAZIL SEED 30 PIECES, PURE NATURAL SEMILLA DE BRASIL FOR 30 DAYS, 5 GRAMS PER BOX, ORANGE BOX.",,Product recalled due to the presence of yellow oleander and its components in the product.,2024-02-09,2024-04-16,2024-04-24,No Lot code on label. Expiration date listed as 05/24 and 03/24.,,
Terminated,Providence,RI,United States,Class II,Food,93835,UNFI General Corporate,313 Iron Horse Way,N/A,02908-5637,Voluntary: Firm initiated,E-Mail,Nationwide,F-0872-2024,"Woodstock 5 Grain Cereal.  Oats, Rye, Triticale, Barley, Golden Flax.  Net Wt. 18.5 oz (1 lb 2.5 oz) 524g.  UPC 0 42563-01772 9.  Distributed by Woodstock, 313 Iron Horse Way, Providence, RI  02908.  Packaged in a plant that also processes wheat.","73,872 canisters",The ingredient Triticale is not identified as wheat.,2024-01-18,2024-02-14,2024-02-21,"Best By Dates:  MAR0625, SEP1224, JUL1624, JUN2624",,2024-04-19
Terminated,Saint-Leonard,,Canada,Class II,Food,94027,Pasta Oggi Inc.,8790 Champ d'Eau St,,N/A,Voluntary: Firm initiated,E-Mail,"Distributed in IL, CA and WA.",F-0934-2024,"Oggi Pizza Plant Based Americana Beyond Meat Crumbles on Cauliflower Crust, gluten-free frozen pizza - cook before serving, net wt. 13.76oz (390g). One pizza wrapped in plastic film in a cardboard box. Retail box UPC 6 28451 68487 9.   There are 12 pizza per case, and each case has UPC 1062845 1684876.",5040 units,Undeclared milk,2024-02-07,2024-02-27,2024-03-06,Lot: 23-200. Best Before: BB: 2024 JL 19,,2024-04-24
Terminated,Mobile,AL,United States,Class II,Food,93970,"FGP Manufacturing, LLC",1201 W I65 Service Rd N,,36618-1104,Voluntary: Firm initiated,E-Mail,"Distribution States: FL, OK, OH, SC, TX, CO, GA, WI, NC, AL, MO, WV, PA, MI, TN, AZ, NJ   Product sent to franchise owners. -Banana Pudding pops manufactured between 2/21/23 - 1/17/24 and distributed between 2/26/23 - 2/6/24 to the customers on the list provided. -Creamy Coconut pops manufactured between 5/4/23 - 1/18/24 and distributed between 5/8/23 - 2/6/24 to the customers on the list provided. -Fruity Pebble pops manufactured between manufactured between 2/9/23 - 12/8/23 and distributed between 2/13/23 - 2/6/24 to the customers on the list provided.",F-1036-2024,Frios Gourmet Pops - Creamy Coconut Popsicle 3oz frozen popsicle packaged individually in clear plastic sleeve. 48 popsicles per box.   *Sold directly to end consumer via food truck,329 boxes (48/bx),Undeclared sulfites,2024-02-07,2024-03-06,2024-03-13,Manufacturer No. 010212,,2024-04-16
